year,date,stage,course,type,distance_in_km,winner_name,country
1922,1922-07-19,13,Strasbourg to Metz,Flat,300.0,Federico Gay,Italia
1922,1922-07-21,14,Metz to Dunkerque,Flat,433.0,Félix Sellier,Bélgica
1922,1922-07-23,15,Dunkerque to Paris,Flat,340.0,Philippe Thys,Bélgica
1923,1923-06-24,1,Paris to Le Havre,Flat,381.0,Robert Jacquinot,Francia
1923,1923-06-26,2,Le Havre to Cherbourg-en-Cotentin,Flat,371.0,Ottavio Bottecchia,Italia
1923,1923-06-28,3,Cherbourg to Brest,Flat,405.0,Henri Pélissier,Francia
1923,1923-06-30,4,Brest to Les Sables d'Olonne,Flat,412.0,Albert Dejonghe,Bélgica
1923,1923-07-02,5,Les Sables d'Olonne to Bayonne,Flat,482.0,Robert Jacquinot,Francia
1923,1923-07-04,6,Bayonne to Luchon,Mountain,326.0,Jean Alavoine,Francia
1923,1923-07-06,7,Luchon to Perpignan,Mountain,323.0,Jean Alavoine,Francia
1923,1923-07-08,8,Perpignan to Toulon,Flat,427.0,Lucien Buysse,Bélgica
1923,1923-07-10,9,Toulon to Nice,Mountain,281.0,Jean Alavoine,Francia
1923,1923-07-12,10,Nice to Briançon,Mountain,275.0,Henri Pélissier,Francia
1923,1923-07-14,11,Briançon to Geneva,Mountain,260.0,Henri Pélissier,Francia
1923,1923-07-16,12,Geneva to Strasbourg,Flat,377.0,Joseph Muller,Francia
1923,1923-07-18,13,Strasbourg to Metz,Flat,300.0,Romain Bellenger,Francia
1923,1923-07-20,14,Metz to Dunkerque,Flat,433.0,Félix Goethals,Francia
1923,1923-07-22,15,Dunkerque to Paris,Flat,343.0,Félix Goethals,Francia
1924,1924-06-22,1,Paris to Le Havre,Flat,381.0,Ottavio Bottecchia,Italia
1924,1924-06-24,2,Le Havre to Cherbourg-en-Cotentin,Flat,371.0,Romain Bellenger,Francia
1924,1924-06-26,3,Cherbourg to Brest,Flat,405.0,Philippe Thys (BEL) Théophile Beeckman,Bélgica
1924,1924-06-28,4,Brest to Les Sables-d'Olonne,Flat,412.0,Félix Goethals,Francia
1924,1924-06-30,5,Les Sables-d'Olonne to Bayonne,Flat,482.0,Omer Huyse,Bélgica
1924,1924-07-02,6,Bayonne to Luchon,Mountain,326.0,Ottavio Bottecchia,Italia
1924,1924-07-04,7,Luchon to Perpignan,Mountain,323.0,Ottavio Bottecchia,Italia
1924,1924-07-06,8,Perpignan to Toulon,Flat,427.0,Louis Mottiat,Bélgica
1924,1924-07-08,9,Toulon to Nice,Mountain,280.0,Philippe Thys,Bélgica
1924,1924-07-10,10,Nice to Briançon,Mountain,275.0,Giovanni Brunero,Italia
1924,1924-07-12,11,Briançon to Gex,Mountain,307.0,Nicolas Frantz,Luxemburgo
1924,1924-07-14,12,Gex to Strasbourg,Mountain,360.0,Nicolas Frantz,Luxemburgo
1924,1924-07-16,13,Strasbourg to Metz,Flat,300.0,Arsène Alancourt,Francia
1924,1924-07-18,14,Metz to Dunkerque,Flat,433.0,Romain Bellenger,Francia
1924,1924-07-20,15,Dunkerque to Paris,Flat,343.0,Ottavio Bottecchia,Italia
1925,1925-06-21,1,Paris to Le Havre,Flat,340.0,Ottavio Bottecchia,Italia
1925,1925-06-23,2,Le Havre to Cherbourg,Flat,371.0,Romain Bellenger,Francia
1925,1925-06-25,3,Cherbourg to Brest,Flat,405.0,Louis Mottiat,Bélgica
1925,1925-06-26,4,Brest to Vannes,Flat,208.0,Nicolas Frantz,Luxemburgo
1925,1925-06-27,5,Vannes to Les Sables-d'Olonne,Flat,204.0,Nicolas Frantz,Luxemburgo
1925,1925-06-28,6,Les Sables-d'Olonne to Bordeaux,Flat,293.0,Ottavio Bottecchia,Italia
1925,1925-06-29,7,Bordeaux to Bayonne,Flat,189.0,Ottavio Bottecchia,Italia
1925,1925-07-01,8,Bayonne to Luchon,Mountain,326.0,Adelin Benoît,Bélgica
1925,1925-07-03,9,Luchon to Perpignan,Mountain,323.0,Nicolas Frantz,Luxemburgo
1925,1925-07-04,10,Perpignan to Nîmes,Flat,215.0,Theophile Beeckman,Bélgica
1925,1925-07-05,11,Nîmes to Toulon,Flat,215.0,Lucien Buysse,Bélgica
1925,1925-07-07,12,Toulon to Nice,Mountain,280.0,Lucien Buysse,Bélgica
1925,1925-07-09,13,Nice to Briançon,Mountain,275.0,Bartolomeo Aimo,Italia
1925,1925-07-11,14,Briançon to Evian,Mountain,303.0,Hector Martin,Bélgica
1925,1925-07-13,15,Evian to Mulhouse,Mountain,373.0,Nicolas Frantz,Luxemburgo
1925,1925-07-15,16,Mulhouse to Metz,Flat,334.0,Hector Martin,Bélgica
1925,1925-07-17,17,Metz to Dunkerque,Flat,433.0,Hector Martin,Bélgica
1925,1925-07-19,18,Dunkerque to Paris,Flat,343.0,Ottavio Bottecchia,Italia
1926,1926-06-20,1,Evian to Mülhausen,Flat,373.0,Jules Buysse,Bélgica
1926,1926-06-22,2,Mülhausen to Metz,Flat,334.0,Aimé Dossche,Bélgica
1926,1926-06-24,3,Metz to Dunkerque,Flat,433.0,Gustaaf van Slembrouck,Bélgica
1926,1926-06-26,4,Dunkerque to Le Havre,Flat,361.0,Félix Sellier,Bélgica
1926,1926-06-28,5,Le Havre to Cherbourg-en-Cotentin,Flat,357.0,Adelin Benoit,Bélgica
1926,1926-06-30,6,Cherbourg to Brest,Flat,405.0,Joseph van Dam,Bélgica
1926,1926-07-02,7,Brest to Les Sables d'Olonne,Flat,412.0,Nicolas Frantz,Luxemburgo
1926,1926-07-03,8,Les Sables d'Olonne to Bordeaux,Flat,285.0,Joseph van Dam,Bélgica
1926,1926-07-04,9,Bordeaux to Bayonne,Flat,189.0,Nicolas Frantz,Luxemburgo
1926,1926-07-06,10,Bayonne to Luchon,Mountain,326.0,Lucien Buysse,Bélgica
1926,1926-07-08,11,Luchon to Perpignan,Mountain,323.0,Lucien Buysse,Bélgica
1926,1926-07-10,12,Perpignan to Toulon,Flat,427.0,Nicolas Frantz,Luxemburgo
1926,1926-07-12,13,Toulon to Nice,Flat,280.0,Nicolas Frantz,Luxemburgo
1926,1926-07-14,14,Nice to Briançon,Mountain,275.0,Bartolomeo Aimo,Italia
1926,1926-07-16,15,Briançon to Evian,Mountain,303.0,Joseph van Dam,Bélgica
1926,1926-07-17,16,Evian to Dijon,Flat,321.0,Camille van de Casteele,Bélgica
1926,1926-07-18,17,Dijon to Paris,Flat,341.0,Aimé Dossche,Bélgica
1927,1927-06-19,1,Paris to Dieppe,Team time-trial,180.0,Francis Pélissier,Francia
1927,1927-06-20,2,Dieppe to Le Havre,Team time-trial,103.0,Maurice Dewaele,Bélgica
1927,1927-06-21,3,Le Havre to Caen,Team time-trial,225.0,Hector Martin,Bélgica
1927,1927-06-22,4,Caen to Cherbourg-en-Cotentin,Team time-trial,140.0,Camille van de Casteele,Bélgica
1927,1927-06-23,5,Cherbourg to Dinan,Team time-trial,199.0,Ferdinand Le Drogo,Francia
1927,1927-06-24,6,Dinan to Brest,Team time-trial,206.0,André Leducq,Francia
