year,rank,rider_name,country,team,rider_total_time
1922,21,Alfons Standaert,Bélgica,,845812.0
1922,22,Edgard Roy,Francia,,851827.0
1922,23,Joseph Marchand,Bélgica,,853580.0
1922,24,Enrico Sala,Italia,,858927.0
1922,25,Jules Matton,Bélgica,,863145.0
1922,26,Pierre Hudsyn,Bélgica,,873503.0
1922,27,Charles Parel,Suiza,,879975.0
1922,28,Léon Van Aken,Bélgica,,886110.0
1922,29,Marie Aubry,Francia,,898122.0
1922,30,Ernest Paul,Francia,,902594.0
1922,31,Georges Kamm,Francia,,916263.0
1922,32,Charles Loew,Francia,,930505.0
1922,33,Jules Brun,Francia,,967505.0
1922,34,Emmanuele Luigi,Italia,,970279.0
1922,35,Laurent Devalle,Mónaco,,995546.0
1922,36,Robert Constantin,Francia,,997295.0
1922,37,Charles Hennuyer,Francia,,1012878.0
1922,38,Daniel Masson,Francia,,1036907.0
1923,1,Henri Pélissier,Francia,Automoto,800130.0
1923,2,Ottavio Bottecchia,Italia,Automoto,801971.0
1923,3,Romain Bellenger,Francia,Peugeot–Wolber,804013.0
1923,4,Hector Tiberghien,Bélgica,Peugeot–Wolber,805486.0
1923,5,Arsène Alancourt,Francia,Armor,807730.0
1923,6,Henri Collé,Suiza,Griffon,809053.0
1923,7,Léon Despontin,Bélgica,Peugeot–Wolber,809719.0
1923,8,Lucien Buysse,Bélgica,Automoto,809741.0
1923,9,Eugène Dhers,Francia,Armor,810879.0
1923,10,Marcel Huot,Francia,Griffon,811946.0
1923,11,Joseph Muller,Francia,Peugeot-Wolber,812536.0
1923,12,Ottavio Pratesi,Italia,Touriste-Routier,813036.0
1923,13,Félix Goethals,Francia,Thomann,815828.0
1923,14,Théophile Beeckman,Bélgica,Griffon,818134.0
1923,15,Joseph Normand,Francia,Davy,818729.0
1923,16,Gaston Degy,Francia,Peugeot–Wolber,820287.0
1923,17,Lucien Rich,Francia,Christophe,823836.0
1923,18,Paul Duboc,Francia,Alleluia,825131.0
1923,19,Camille Botte,Bélgica,Touriste-Routier,826166.0
1923,20,Georges Cuvelier,Francia,Lapize,827177.0
1923,21,Benjamin Mortier,Bélgica,Christophe,829153.0
1923,22,Alfons Standaert,Bélgica,Thomann,829988.0
1923,23,Francis Pélissier,Francia,Automoto,835122.0
1923,24,Henri Touzard,Francia,Touriste-Routier,836130.0
1923,25,Robert Jacquinot,Francia,Peugeot–Wolber,838642.0
1923,26,Carlo Longoni,Italia,Christophe,839777.0
1923,27,Charles Parel,Suiza,Touriste-Routier,840083.0
1923,28,Louis Mottiat,Bélgica,Alcyon,843447.0
1923,29,Giovanni Rossignoli,Italia,Touriste-Routier,848038.0
1923,30,Pierre Hudsyn,Bélgica,Touriste-Routier,862550.0
1923,31,Edgard Roy,Francia,Touriste-Routier,868636.0
1923,32,Antoine Riera,Francia,Touriste-Routier,879669.0
1923,33,Charles Cento,Francia,Touriste-Routier,887603.0
1923,34,Maurice Arnoult,Francia,Touriste-Routier,892075.0
1923,35,Charles Loew,Francia,Touriste-Routier,916952.0
1923,36,Paul Denis,Francia,Touriste-Routier,921253.0
1923,37,Félix Richard,Francia,Touriste-Routier,921473.0
1923,38,Henri Miège,Suiza,Touriste-Routier,922646.0
1923,39,Jean Kienlen,Francia,Touriste-Routier,926588.0
1923,40,Giuseppe Ercolani,Italia,Touriste-Routier,943271.0
1923,41,Alfred Hersard,Francia,Touriste-Routier,947593.0
1923,42,Vincenzo Bianco,Italia,Touriste-Routier,947606.0
1923,43,Giuseppe Ruffoni,Italia,Touriste-Routier,951252.0
1923,44,Georges Kamm,Francia,Touriste-Routier,952430.0
