year,rank,rider_name,country,team,rider_total_time
1983,28,Kim Andersen,Dinamarca,COOP–Mercier–Mavic,382250.0
1983,29,Theo de Rooij,Países Bajos,TI–Raleigh–Campagnolo,382413.0
1983,30,Marc Durant,Francia,Wolber–Spidel,382640.0
1983,31,Antonio Ferretti,Suiza,Cilo–Aufina,382765.0
1983,32,Pierre Le Bigaut,Francia,COOP–Mercier–Mavic,382934.0
1983,33,Alain Vigneron,Francia,Renault–Elf,383165.0
1983,34,Bernard Gavillet,Suiza,Cilo–Aufina,383338.0
1983,35,Didier Vanoverschelde,Francia,La Redoute–Motobécane,383531.0
1983,36,Patrick Clerc,Francia,Sem–Reydel–Mavic,383612.0
1983,37,Adri van der Poel,Países Bajos,Jacky Aernoudt–Rossin–Campagnolo,383865.0
1983,38,Patrick Bonnet,Francia,Wolber–Spidel,383985.0
1983,39,Alfio Vandi,Italia,Metauro Mobili–Pinarello,384051.0
1983,40,Dominique Garde,Francia,Peugeot–Shell–Michelin,384102.0
1983,41,Philippe Leleu,Francia,Wolber–Spidel,384120.0
1983,42,Frits Pirard,Países Bajos,Metauro Mobili–Pinarello,384434.0
1983,43,Raymond Martin,Francia,COOP–Mercier–Mavic,384497.0
1983,44,Abelardo Rios,Colombia,Varta–Colombia,384531.0
1983,45,Christian Jourdan,Francia,La Redoute–Motobécane,384637.0
1983,46,Celestino Prieto,España,Reynolds,384840.0
1983,47,Philippe Chevallier,Francia,Renault–Elf,385082.0
1983,48,Ludwig Wijnants,Bélgica,Boule d'Or–Colnago,385084.0
1983,49,Paul Haghedooren,Bélgica,Splendor–Euro Shop,385149.0
1983,50,Hubert Linard,Francia,Peugeot–Shell–Michelin,385267.0
1983,51,Anastasio Greciano,España,Reynolds,385304.0
1983,52,Lucien Didier,Luxemburgo,Renault–Elf,385357.0
1983,53,Bernard Bourreau,Francia,Peugeot–Shell–Michelin,385358.0
1983,54,Jesus Hernández,España,Reynolds,385591.0
1983,55,Carlos Hernández,España,Reynolds,385598.0
1983,56,Charly Berard,Francia,Renault–Elf,385617.0
1983,57,Samuel Cabrera,Colombia,Varta–Colombia,385900.0
1983,58,Bernard Vallet,Francia,La Redoute–Motobécane,385914.0
1983,59,Gilbert Duclos-Lassalle,Francia,Peugeot–Shell–Michelin,385990.0
1983,60,Claude Moreau,Francia,COOP–Mercier–Mavic,386042.0
1983,61,Pascal Jules,Francia,Renault–Elf,386061.0
1983,62,Jacques Bossis,Francia,Peugeot–Shell–Michelin,386082.0
1983,63,Hendrik Devos,Bélgica,Splendor–Euro Shop,386138.0
1983,64,Alfonso Lopez,Colombia,Varta–Colombia,386254.0
1983,65,Dominique Gaigne,Francia,Renault–Elf,386270.0
1983,66,Jean-François Rodriguez,Francia,Wolber–Spidel,386301.0
1983,67,Rudy Rogiers,Bélgica,Jacky Aernoudt–Rossin–Campagnolo,386310.0
1983,68,Jan Wijnants,Bélgica,Boule d'Or–Colnago,386325.0
1983,69,Graham Jones,Reino Unido,Wolber–Spidel,386575.0
1983,70,Eugène Urbany,Luxemburgo,Boule d'Or–Colnago,386675.0
1983,71,Serge Demierre,Suiza,Cilo–Aufina,386845.0
1983,72,Johan Lammerts,Países Bajos,TI–Raleigh–Campagnolo,386947.0
1983,73,Ludo De Keulenaer,Bélgica,TI–Raleigh–Campagnolo,387029.0
1983,74,Eric Dall'Armelina,Francia,Sem–Reydel–Mavic,387226.0
1983,75,Enrique Aja,España,Reynolds,387461.0
1983,76,Jean-Louis Gauthier,Francia,COOP–Mercier–Mavic,387607.0
1983,77,Guy Janiszewski,Bélgica,Boule d'Or–Colnago,387791.0
1983,78,Frédéric Brun,Francia,Peugeot–Shell–Michelin,388312.0
1983,79,Laurent Biondi,Francia,La Redoute–Motobécane,388316.0
1983,80,Jan van Houwelingen,Países Bajos,Boule d'Or–Colnago,388419.0
1983,81,Henri Manders,Países Bajos,Jacky Aernoudt–Rossin–Campagnolo,389078.0
1983,82,Marc Dierickx,Bélgica,Jacky Aernoudt–Rossin–Campagnolo,389108.0
1983,83,Julius Thalmann,Suiza,Cilo–Aufina,389380.0
1983,84,Erich Mächler,Suiza,Cilo–Aufina,390263.0
1983,85,Gilbert Glaus,Suiza,Cilo–Aufina,391308.0
1983,86,Guy Gallopin,Francia,La Redoute–Motobécane,391369.0
1983,87,Marcel Russenberger,Suiza,Cilo–Aufina,391799.0
1983,88,Marcel Laurens,Bélgica,Jacky Aernoudt–Rossin–Campagnolo,393038.0
1984,1,Laurent Fignon,Francia,Renault–Elf,403420.0
1984,2,Bernard Hinault,Francia,La Vie Claire,404052.0
1984,3,Greg LeMond,Estados Unidos,Renault–Elf,404126.0
1984,4,Robert Millar,Reino Unido,Peugeot–Shell–Michelin,404302.0
1984,5,Sean Kelly,Irlanda,Skil–Reydel–Sem–Mavic,404415.0
1984,6,Ángel Arroyo,España,Reynolds,404582.0
1984,7,Pascal Simon,Francia,Peugeot–Shell–Michelin,404697.0
1984,8,Pedro Muñoz Machín Rodríguez,España,Teka,404997.0
1984,9,Claude Criquielion,Bélgica,Splendor–Mondial Moquettes–Marc,405172.0
1984,10,Phil Anderson,Australia,Panasonic–Raleigh,405176.0
1984,11,Niki Rüttimann,Suiza,La Vie Claire,405278.0
1984,12,Rafaël Antonio Acevedo,Colombia,Varta–Café de Colombia,405432.0
1984,13,Jean-Marie Grezet,Suiza,Skil–Reydel–Sem–Mavic,405441.0
1984,14,Éric Caritoux,Francia,Skil–Reydel–Sem–Mavic,405608.0
1984,15,José Patrocinio Jiménez,Colombia,Teka,405689.0
1984,16,Gerard Veldscholten,Países Bajos,Panasonic–Raleigh,405934.0
1984,17,Michel Laurent,Francia,COOP–Hoonved,406093.0
1984,18,Alfonso Florez,Colombia,Varta–Café de Colombia,406153.0
1984,19,José Antonio Agudelo Gómez,Colombia,Varta–Café de Colombia,406385.0
1984,20,Bernard Gavillet,Suiza,Cilo–Aufina–Crans–Montana,406482.0
1984,21,Pascal Jules,Francia,Renault–Elf,406533.0
1984,22,Luciano Loro,Italia,Carrera–Inoxpran,406577.0
1984,23,Frédéric Vichot,Francia,Skil–Reydel–Sem–Mavic,406618.0
1984,24,Guy Nulens,Bélgica,Panasonic–Raleigh,406625.0
1984,25,Stephen Roche,Irlanda,La Redoute,406816.0
1984,26,Peter Winnen,Países Bajos,Panasonic–Raleigh,406914.0
1984,27,Luis Herrera,Colombia,Varta–Café de Colombia,406930.0
1984,28,Vincent Barteau,Francia,Renault–Elf,407022.0
1984,29,Gilles Mas,Francia,Skil–Reydel–Sem–Mavic,407358.0
1984,30,Joop Zoetemelk,Países Bajos,Kwantum–Decosol–Yoko,407382.0
1984,31,Jonathan Boyer,Estados Unidos,Skil–Reydel–Sem–Mavic,407443.0
1984,32,Samuel Cabrera,Colombia,Varta–Café de Colombia,407457.0
1984,33,Dominique Garde,Francia,Peugeot–Shell–Michelin,407618.0
1984,34,Celestino Prieto,España,Reynolds,407643.0
1984,35,Marc Madiot,Francia,Renault–Elf,407803.0
1984,36,Jérôme Simon,Francia,La Redoute,408013.0
1984,37,Marc Durant,Francia,Système U,408062.0
1984,38,Robert Alban,Francia,La Redoute,408103.0
1984,39,Federico Echave,España,Teka,408399.0
1984,40,Henk Lubberding,Países Bajos,Panasonic–Raleigh,408452.0
1984,41,José Luis Laguía,España,Reynolds,408462.0
1984,42,Jean-Philippe Vandenbrande,Bélgica,Splendor–Mondial Moquettes–Marc,408473.0
1984,43,Beat Breu,Suiza,Cilo–Aufina–Crans–Montana,408541.0
1984,44,Pierre Le Bigaut,Francia,COOP–Hoonved,408631.0
1984,45,Francisco Rodríguez,Colombia,Splendor–Mondial Moquettes–Marc,408735.0
1984,46,Yvon Madiot,Francia,Renault–Elf,408799.0
1984,47,Alain Vigneron,Francia,La Vie Claire,408809.0
1984,48,Marc Sergeant,Bélgica,Europ Decor–Boule d'Or,408893.0
1984,49,Charly Berard,Francia,La Vie Claire,409015.0
1984,50,Kim Andersen,Dinamarca,COOP–Hoonved,409023.0
1984,51,Enrique Aja,España,Reynolds,409053.0
1984,52,Julián Gorospe,España,Reynolds,409263.0
1984,53,Carlos Hernández,España,Reynolds,409270.0
1984,54,Dominique Arnaud,Francia,La Vie Claire,409290.0
1984,55,Pierre-Henri Menthéour,Francia,Renault–Elf,409351.0
1984,56,Hennie Kuiper,Países Bajos,Kwantum–Decosol–Yoko,409390.0
1984,57,Ludo Peeters,Bélgica,Kwantum–Decosol–Yoko,409419.0
1984,58,Urs Zimmermann,Suiza,Cilo–Aufina–Crans–Montana,409459.0
1984,59,Theo de Rooij,Países Bajos,Panasonic–Raleigh,409560.0
1984,60,Herman Loaiza,Colombia,Varta–Café de Colombia,409655.0
1984,61,Antonio Ferretti,Suiza,Cilo–Aufina–Crans–Montana,409864.0
1984,62,Maurice Le Guilloux,Francia,La Vie Claire,409938.0
1984,63,Guy Gallopin,Francia,Skil–Reydel–Sem–Mavic,409967.0
1984,64,Raimund Dietzen,Alemania,Teka,409991.0
1984,65,Alfonso Lopez,Colombia,Varta–Café de Colombia,410019.0
1984,66,Antonio Coll,España,Teka,410144.0
1984,67,André Chappuis,Francia,Système U,410144.0
1984,68,René Martens,Bélgica,Teka,410165.0
1984,69,Yvan Frebert,Francia,Système U,410258.0
1984,70,Glauco Santoni,Italia,Carrera–Inoxpran,410288.0
1984,71,Jesús Hernández Úbeda,España,Reynolds,410337.0
1984,72,Lucien Didier,Luxemburgo,Renault–Elf,410419.0
1984,73,Bernard Vallet,Francia,La Vie Claire,410523.0
1984,74,Alfons De Wolf,Bélgica,Europ Decor–Boule d'Or,410536.0
1984,75,Leo van Vliet,Países Bajos,Kwantum–Decosol–Yoko,410552.0
1984,76,Bruno Leali,Italia,Carrera–Inoxpran,410840.0
1984,77,Marco Antonio Chagas,Portugal,Sporting–Raposeira,411115.0
1984,78,Israel Corredor,Colombia,Varta–Café de Colombia,411191.0
1984,79,Patrick Clerc,Francia,Skil–Reydel–Sem–Mavic,411309.0
1984,80,Pascal Poisson,Francia,Renault–Elf,411317.0
1984,81,Giancarlo Perini,Italia,Carrera–Inoxpran,411348.0
1984,82,Jean-François Rault,Francia,La Vie Claire,411357.0
1984,83,Alain Dithurbide,Francia,Sporting–Raposeira,411402.0
1984,84,Erich Mächler,Suiza,Cilo–Aufina–Crans–Montana,411543.0
1984,85,Patrick Bonnet,Francia,Système U,411658.0
1984,86,Bernard Bourreau,Francia,Peugeot–Shell–Michelin,411849.0
1984,87,Anastasio Greciano,España,Reynolds,411871.0
1984,88,Hendrik Devos,Bélgica,Splendor–Mondial Moquettes–Marc,412055.0
1984,89,Frédéric Brun,Francia,Peugeot–Shell–Michelin,412128.0
1984,90,Eric Vanderaerden,Bélgica,Panasonic–Raleigh,412194.0
1984,91,Sean Yates,Reino Unido,Peugeot–Shell–Michelin,412221.0
1984,92,Ludo De Keulenaer,Bélgica,Panasonic–Raleigh,412349.0
1984,93,Czeslaw Lang,Polonia,Carrera–Inoxpran,412381.0
1984,94,Manuel Zeferino,Portugal,Sporting–Raposeira,412386.0
1984,95,Allan Peiper,Australia,Peugeot–Shell–Michelin,412508.0
1984,96,Patrick Moerlen,Suiza,Skil–Reydel–Sem–Mavic,412513.0
1984,97,Jean-Louis Gauthier,Francia,COOP–Hoonved,412670.0
1984,98,Bernardo Alfonsel,España,Teka,412745.0
1984,99,Alain Bondue,Francia,La Redoute,412825.0
1984,100,Frank Hoste,Bélgica,Europ Decor–Boule d'Or,412908.0
1984,101,Jacques Hanegraaf,Países Bajos,Kwantum–Decosol–Yoko,413264.0
1984,102,Jacques Bossis,Francia,Peugeot–Shell–Michelin,413286.0
1984,103,Gerrie Knetemann,Países Bajos,Europ Decor–Boule d'Or,413498.0
1984,104,Marc Dierickx,Bélgica,Europ Decor–Boule d'Or,413580.0
1984,105,Francis Castaing,Francia,Peugeot–Shell–Michelin,413739.0
1984,106,Ferdi Van Den Haute,Bélgica,La Redoute,413788.0
1984,107,Henri Manders,Países Bajos,Kwantum–Decosol–Yoko,414161.0
1984,108,Ad Wijnands,Países Bajos,Kwantum–Decosol–Yoko,414284.0
1984,109,Luc Govaerts,Bélgica,Europ Decor–Boule d'Or,414319.0
1984,110,Christian Levavasseur,Francia,La Redoute,414404.0
1984,111,Régis Simon,Francia,La Redoute,414485.0
1984,112,Hubert Linard,Francia,Peugeot–Shell–Michelin,414604.0
1984,113,Valerio Lualdi,Italia,Carrera–Inoxpran,414630.0
1984,114,Claude Moreau,Francia,COOP–Hoonved,414674.0
1984,115,Patrice Thevenard,Francia,Sporting–Raposeira,414776.0
1984,116,Paul Sherwen,Reino Unido,La Redoute,415708.0
1984,117,Michel Charreard,Francia,Sporting–Raposeira,415738.0
1984,118,Eduardo Manuel Correia,Portugal,Sporting–Raposeira,415757.0
1984,119,José Antonio Xavier,Portugal,Sporting–Raposeira,415866.0
1984,120,Modesto Urrutibeazcoa,España,Teka,416031.0
1984,121,Dominique Gaigne,Francia,Renault–Elf,416359.0
1984,122,Carlos Alberto Marta,Portugal,Sporting–Raposeira,416625.0
1984,123,Marcel Russenberger,Suiza,Cilo–Aufina–Crans–Montana,417850.0
1984,124,Gilbert Glaus,Suiza,Cilo–Aufina–Crans–Montana,417897.0
1985,1,Bernard Hinault,Francia,La Vie Claire,408263.0
1985,2,Greg LeMond,Estados Unidos,La Vie Claire,408365.0
1985,3,Stephen Roche,Irlanda,La Redoute,408532.0
1985,4,Sean Kelly,Irlanda,Skil–Sem–Kas–Miko,408649.0
1985,5,Phil Anderson,Australia,Panasonic–Raleigh,408727.0
1985,6,Pedro Delgado,España,Seat–Orbea,408976.0
1985,7,Luis Herrera,Colombia,Varta–Café de Colombia–Mavic,409036.0
1985,8,Fabio Parra,Colombia,Varta–Café de Colombia–Mavic,409078.0
1985,9,Eduardo Chozas,España,Reynolds,409099.0
1985,10,Steve Bauer,Canadá,La Vie Claire,409160.0
1985,11,Robert Millar,Reino Unido,Peugeot–Shell–Michelin,409173.0
1985,12,Joop Zoetemelk,Países Bajos,Kwantum–Decosol–Yoko,409187.0
1985,13,Niki Rüttimann,Suiza,La Vie Claire,409225.0
1985,14,Eddy Schepers,Bélgica,Lotto,409236.0
1985,15,Peter Winnen,Países Bajos,Panasonic–Raleigh,409318.0
1985,16,Robert Forest,Francia,Peugeot–Shell–Michelin,409328.0
1985,17,Celestino Prieto,España,Reynolds,409451.0
1985,18,Claude Criquielion,Bélgica,Hitachi–Splendor–Sunair,409535.0
1985,19,Álvaro Pino,España,Zor–Gemeaz Cusin,409558.0
1985,20,Pascal Simon,Francia,Peugeot–Shell–Michelin,409673.0
1985,21,Pierre Bazzo,Francia,Fagor,409679.0
1985,22,Dominique Arnaud,Francia,La Vie Claire,409851.0
1985,23,Beat Breu,Suiza,Carrera–Inoxpran,410045.0
1985,24,Jérôme Simon,Francia,La Redoute,410235.0
1985,25,Steven Rooks,Países Bajos,Panasonic–Raleigh,410264.0
1985,26,Marc Madiot,Francia,Renault–Elf,410301.0
1985,27,Lucien Van Impe,Bélgica,Santini,410319.0
1985,28,Gerard Veldscholten,Países Bajos,Panasonic–Raleigh,410407.0
1985,29,Thierry Claveyrolat,Francia,La Redoute,410619.0
1985,30,Jesús Rodríguez,España,Zor–Gemeaz Cusin,410641.0
1985,31,Frédéric Vichot,Francia,Skil–Sem–Kas–Miko,410665.0
1985,32,Paul Wellens,Bélgica,Tönissteiner–TW Rock–BASF,410683.0
1985,33,Paul Haghedooren,Bélgica,Lotto,410700.0
1985,34,Éric Caritoux,Francia,Skil–Sem–Kas–Miko,410776.0
1985,35,Dominique Garde,Francia,Skil–Sem–Kas–Miko,410809.0
1985,36,Charly Mottet,Francia,Renault–Elf,410840.0
1985,37,Gilles Mas,Francia,Skil–Sem–Kas–Miko,410973.0
1985,38,Iñaki Gastón,España,Reynolds,411016.0
1985,39,Faustino Rupérez,España,Zor–Gemeaz Cusin,411035.0
1985,40,Jean-Philippe Vandenbrande,Bélgica,Hitachi–Splendor–Sunair,411179.0
1985,41,Reynel Montoya,Colombia,Varta–Café de Colombia–Mavic,411189.0
1985,42,Pascal Poisson,Francia,Renault–Elf,411484.0
1985,43,Rafaël Antonio Acevedo,Colombia,Varta–Café de Colombia–Mavic,411515.0
1985,44,Alain Vigneron,Francia,La Vie Claire,411608.0
1985,45,Jokin Mújika,España,Seat–Orbea,411617.0
1985,46,Bernard Vallet,Francia,La Vie Claire,411853.0
1985,47,Kim Andersen,Dinamarca,La Vie Claire,411895.0
1985,48,Ludo Peeters,Bélgica,Kwantum–Decosol–Yoko,411978.0
1985,49,Roberto Visentini,Italia,Carrera–Inoxpran,412051.0
1985,50,Jørgen V. Pedersen,Dinamarca,Carrera–Inoxpran,412205.0
1985,51,Adri van der Poel,Países Bajos,Kwantum–Decosol–Yoko,412312.0
1985,52,Jan Wijnants,Bélgica,Tönissteiner–TW Rock–BASF,412366.0
1985,53,Laurent Biondi,Francia,Hitachi–Splendor–Sunair,412380.0
1985,54,Pello Ruiz,España,Seat–Orbea,412589.0
1985,55,Jacques van Meer,Países Bajos,Skil–Sem–Kas–Miko,412624.0
1985,56,Denis Roux,Francia,Renault–Elf,412729.0
1985,57,Philippe Chevallier,Francia,Renault–Elf,412782.0
1985,58,Hendrik Devos,Bélgica,Hitachi–Splendor–Sunair,412855.0
1985,59,Marc Sergeant,Bélgica,Lotto,413013.0
1985,60,Martin Earley,Irlanda,Fagor,413099.0
1985,61,Gilbert Duclos-Lassalle,Francia,Peugeot–Shell–Michelin,413119.0
1985,62,Enrique Aja,España,Reynolds,413326.0
1985,63,Ludwig Wijnants,Bélgica,Tönissteiner–TW Rock–BASF,413339.0
1985,64,Marc Durant,Francia,Zor–Gemeaz Cusin,413370.0
1985,65,Jean-Claude Bagot,Francia,Fagor,413400.0
1985,66,Herman Loaiza,Colombia,Varta–Café de Colombia–Mavic,413465.0
1985,67,Thierry Marie,Francia,Renault–Elf,413533.0
1985,68,Yvan Frebert,Francia,Peugeot–Shell–Michelin,413714.0
1985,69,Jean-Louis Gauthier,Francia,La Redoute,413731.0
1985,70,Rudy Rogiers,Bélgica,Hitachi–Splendor–Sunair,413881.0
1985,71,Christian Jourdan,Francia,La Vie Claire,413934.0
1985,72,Yvon Madiot,Francia,Renault–Elf,414018.0
1985,73,Carlos Jaramillo,Colombia,Varta–Café de Colombia–Mavic,414195.0
1985,74,Douglas Shapiro,Estados Unidos,Kwantum–Decosol–Yoko,414237.0
1985,75,Johan Lammerts,Países Bajos,Panasonic–Raleigh,414275.0
1985,76,Carlos Hernández,España,Reynolds,414290.0
1985,77,René Bittinger,Francia,Skil–Sem–Kas–Miko,414295.0
1985,78,Joël Pelier,Francia,Skil–Sem–Kas–Miko,414476.0
1985,79,Leo van Vliet,Países Bajos,Kwantum–Decosol–Yoko,414513.0
1985,80,Theo de Rooij,Países Bajos,Panasonic–Raleigh,414765.0
1985,81,François Lemarchand,Francia,Fagor,414903.0
1985,82,Henk Lubberding,Países Bajos,Panasonic–Raleigh,414971.0
1985,83,Anastasio Greciano,España,Seat–Orbea,415070.0
1985,84,Maarten Ducrot,Países Bajos,Kwantum–Decosol–Yoko,415100.0
1985,85,Jesus Hernández,España,Reynolds,415116.0
1985,86,Allan Peiper,Australia,Peugeot–Shell–Michelin,415277.0
1985,87,Eric Vanderaerden,Bélgica,Panasonic–Raleigh,415379.0
1985,88,Adrie van Houwelingen,Países Bajos,Verandalux–Dries–Nissan,415435.0
1985,89,Czesław Lang,Polonia,Carrera–Inoxpran,415512.0
1985,90,Philippe Poissonnier,Francia,Skil–Sem–Kas–Miko,415513.0
1985,91,Henri Manders,Países Bajos,Kwantum–Decosol–Yoko,415564.0
1985,92,Pierre Le Bigaut,Francia,La Redoute,415576.0
1985,93,Willem Van Eynde,Bélgica,Lotto,415578.0
1985,94,Manuel (Imanol) Murga,España,Seat–Orbea,415596.0
1985,95,Elio Festa,Italia,Santini,415604.0
1985,96,Michel Dernies,Bélgica,Lotto,415817.0
1985,97,Claudio Fasolo,Italia,Santini,415818.0
1985,98,Hubert Linard,Francia,Peugeot–Shell–Michelin,415880.0
1985,99,Marc Gomez,Francia,La Vie Claire,415889.0
1985,100,Régis Simon,Francia,La Redoute,416006.0
1985,101,Rudy Dhaenens,Bélgica,Hitachi–Splendor–Sunair,416026.0
1985,102,Guy Gallopin,Francia,Skil–Sem–Kas–Miko,416026.0
1985,103,Aloïs Wouters,Bélgica,Tönissteiner–TW Rock–BASF,416039.0
1985,104,Jan van Houwelingen,Países Bajos,Verandalux–Dries–Nissan,416093.0
1985,105,Giancarlo Perini,Italia,Carrera–Inoxpran,416103.0
1985,106,Ad Wijnands,Países Bajos,Kwantum–Decosol–Yoko,416131.0
1985,107,Luis Vicente,España,Seat–Orbea,416183.0
1985,108,Patrick Toelen,Bélgica,Hitachi–Splendor–Sunair,416204.0
1985,109,Anselmo Fuerte,España,Zor–Gemeaz Cusin,416205.0
1985,110,Gerrit Solleveld,Países Bajos,Kwantum–Decosol–Yoko,416215.0
1985,111,Rudy Patry,Bélgica,Tönissteiner–TW Rock–BASF,416469.0
1985,112,Guido Bontempi,Italia,Carrera–Inoxpran,416498.0
1985,113,Guy Nulens,Bélgica,Panasonic–Raleigh,416643.0
1985,114,Erich Mächler,Suiza,Carrera–Inoxpran,416678.0
1985,115,Jelle Nijdam,Países Bajos,Kwantum–Decosol–Yoko,416762.0
1985,116,Dominique Gaigne,Francia,Renault–Elf,416866.0
1985,117,Jean-Marie Wampers,Bélgica,Hitachi–Splendor–Sunair,416962.0
1985,118,Nestor Oswaldo Mora,Colombia,Varta–Café de Colombia–Mavic,417164.0
1985,119,Ferdi Van Den Haute,Bélgica,La Redoute,417197.0
1985,120,Noël Segers,Bélgica,Tönissteiner–TW Rock–BASF,417648.0
1985,121,Alain Bondue,Francia,La Redoute,417689.0
1985,122,Sean Yates,Reino Unido,Peugeot–Shell–Michelin,417719.0
1985,123,André Lurquin,Bélgica,Tönissteiner–TW Rock–BASF,417747.0
1985,124,Jos Jacobs,Bélgica,Verandalux–Dries–Nissan,417797.0
1985,125,José Del Ramo,España,Seat–Orbea,417843.0
1985,126,Ludo De Keulenaer,Bélgica,Panasonic–Raleigh,417855.0
1985,127,Eric McKenzie,Nueva Zelanda,Lotto,417904.0
1985,128,José Salvador Sanchis,España,Seat–Orbea,417961.0
1985,129,Benny Van Brabant,Bélgica,Tönissteiner–TW Rock–BASF,418358.0
1985,130,Jozef Lieckens,Bélgica,Lotto,418358.0
1985,131,Etienne De Beule,Bélgica,Verandalux–Dries–Nissan,418541.0
1985,132,Francis Castaing,Francia,Peugeot–Shell–Michelin,418891.0
1985,133,Michel Bibollet,Francia,Fagor,419092.0
1985,134,Frédéric Brun,Francia,Peugeot–Shell–Michelin,419153.0
1985,135,Rudy Matthijs,Bélgica,Hitachi–Splendor–Sunair,419256.0
1985,136,Jan Baeyens,Bélgica,Lotto,419639.0
1985,137,Jan Bogaert,Bélgica,Verandalux–Dries–Nissan,419758.0
1985,138,Philippe Lauraire,Francia,Fagor,419963.0
1985,139,Giuliano Pavanello,Italia,Santini,420063.0
1985,140,Peter Pieters,Países Bajos,Zor–Gemeaz Cusin,420607.0
1985,141,Paul Sherwen,Reino Unido,La Redoute,420756.0
1985,142,Patrick Onnockx,Bélgica,Lotto,420828.0
1985,143,Roberto Bressan,Italia,Santini,421783.0
1985,144,Manrico Ronchiato,Italia,Santini,423491.0
1986,1,Greg LeMond,Estados Unidos,La Vie Claire,398119.0
1986,2,Bernard Hinault,Francia,La Vie Claire,398309.0
1986,3,Urs Zimmermann,Suiza,Carrera Jeans–Vagabond,398773.0
1986,4,Andrew Hampsten,Estados Unidos,La Vie Claire,399243.0
1986,5,Claude Criquielion,Bélgica,Hitachi–Robland,399595.0
1986,6,Ronan Pensec,Francia,Peugeot–Shell,399678.0
1986,7,Niki Rüttimann,Suiza,La Vie Claire,399971.0
1986,8,Álvaro Pino,España,Zor–BH,400099.0
1986,9,Steven Rooks,Países Bajos,PDM–Ultima–Concorde,400121.0
1986,10,Yvon Madiot,Francia,Système U,400126.0
1986,11,Samuel Cabrera,Colombia,Reynolds,400247.0
1986,12,Jean-François Bernard,Francia,La Vie Claire,400264.0
1986,13,Pascal Simon,Francia,Peugeot–Shell,400383.0
1986,14,Eduardo Chozas,España,Teka,400447.0
1986,15,Reynel Montoya,Colombia,Postobón–Manzana–Ryalcao,400855.0
1986,16,Charly Mottet,Francia,Système U,400877.0
1986,17,Thierry Claveyrolat,Francia,RMO–Cycles Méral–Mavic,400879.0
1986,18,Marino Lejarreta,España,Seat–Orbea,401068.0
1986,19,Jean-Claude Bagot,Francia,Fagor,401217.0
1986,20,Éric Caritoux,Francia,Fagor,401278.0
1986,21,José Patrocinio Jiménez,Colombia,Café de Colombia–Varta,401461.0
1986,22,Luis Herrera,Colombia,Café de Colombia–Varta,401479.0
1986,23,Steve Bauer,Canadá,La Vie Claire,401481.0
1986,24,Joop Zoetemelk,Países Bajos,Kwantum–Decosol–Yoko,401543.0
1986,25,Jesús Blanco Villar,España,Teka,401915.0
1986,26,Jean-René Bernaudeau,Francia,Fagor,401955.0
1986,27,Alfonso Flórez Ortiz,Colombia,Café de Colombia–Varta,402073.0
1986,28,Bernard Gavillet,Suiza,Système U,402216.0
1986,29,Peter Stevenhaagen,Países Bajos,PDM–Ultima–Concorde,402359.0
1986,30,Jokin Mújika,España,Seat–Orbea,402380.0
1986,31,Anselmo Fuerte,España,Zor–BH,402452.0
1986,32,Primož Čerin,Yugoslavia,Malvor–Bottecchia–Sidi,402599.0
1986,33,José Antonio Agudelo Gómez,Colombia,Teka,402632.0
1986,34,Dag Otto Lauritzen,Noruega,Peugeot–Shell,402666.0
1986,35,Robert Forest,Francia,Peugeot–Shell,402698.0
1986,36,Pello Ruiz Cabestany,España,Seat–Orbea,402701.0
1986,37,Eddy Schepers,Bélgica,Carrera Jeans–Vagabond,402819.0
1986,38,Federico Echave,España,Teka,402852.0
1986,39,Phil Anderson,Australia,Panasonic–Merckx–Agu,402900.0
1986,40,Jesús Rodríguez Magro,España,Zor–BH,402928.0
1986,41,Silvano Contini,Italia,Gis Gelati,403057.0
1986,42,Martín Ramírez,Colombia,Fagor,403065.0
1986,43,Hendrik Devos,Bélgica,Hitachi–Robland,403202.0
1986,44,Charly Berard,Francia,La Vie Claire,403461.0
1986,45,Dominique Garde,Francia,Kas,403470.0
1986,46,Martin Earley,Irlanda,Fagor,403549.0
1986,47,Gilles Mas,Francia,RMO–Cycles Méral–Mavic,403635.0
1986,48,Stephen Roche,Irlanda,Carrera Jeans–Vagabond,403669.0
1986,49,Erich Maechler,Suiza,Carrera Jeans–Vagabond,403684.0
1986,50,Heriberto Urán,Colombia,Postobón–Manzana–Ryalcao,403914.0
1986,51,Jan Nevens,Bélgica,Joker–Emerxil–Merckx,403954.0
1986,52,Johan van der Velde,Países Bajos,Panasonic–Merckx–Agu,403994.0
1986,53,Carlos Hernández,España,Reynolds,404012.0
1986,54,Guy Nulens,Bélgica,Panasonic–Merckx–Agu,404067.0
1986,55,Carlos Jaramillo,Colombia,Postobón–Manzana–Ryalcao,404107.0
1986,56,Jean-Claude Leclercq,Francia,Kas,404162.0
1986,57,Jean-Claude Garde,Francia,Kas,404176.0
1986,58,Jean-Philippe Vandenbrande,Bélgica,Hitachi–Robland,404202.0
1986,59,Juan-Carlos Rozas Salgado,España,Zor–BH,404230.0
1986,60,Enrique Aja,España,Teka,404271.0
1986,61,Gerard Veldscholten,Países Bajos,PDM–Ultima–Concorde,404296.0
1986,62,Bernard Vallet,Francia,RMO–Cycles Méral–Mavic,404311.0
1986,63,Bob Roll,Estados Unidos,7-Eleven,404325.0
